id,title,artist,album,thumbnail,duration,related_videos,views,is_private,is_unlisted,category,publish_date,upload_date,length_seconds,is_family_safe,available_countries
x5lMMUsOlw8,NAAYAK | RAGA | 4k Music Video | ARTISTTAAN | 2016,ARTISTTAAN,,https://i.ytimg.com/vi/x5lMMUsOlw8/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3leWirKt0-4m2PwEKJ56PltEAjuwQ,2:24,[],5208650,False,,Music,2016-09-10T03:23:38-07:00,2016-09-10T03:23:38-07:00,143,,249
AIKihmGXX8I,Jamnapaar,RAGA,,https://i.ytimg.com/vi/AIKihmGXX8I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lM5Szk23Ub9NXLFVxfUEdISeeyLg,3:26,[],8329365,False,,Music,2016-02-10T02:28:56-08:00,2016-02-10T02:28:56-08:00,205,,249
I0yZD7pSRik,SAMASYA |  RAGA | Official Music Video | 2016,ARTISTTAAN,,https://i.ytimg.com/vi/I0yZD7pSRik/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3knDjU5Rg6y0d6g7_0qJSR-zLF1VQ,1:52,[],2843145,False,,Music,2016-12-25T07:14:31-08:00,2016-12-25T07:14:31-08:00,112,,249
Ow9-fzf4Qbk,Mili Raahat,RAGA,,https://i.ytimg.com/vi/Ow9-fzf4Qbk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3maP-Nsl3mgeRY1gglTeXnt80jsqA,2:52,[],3423260,False,,Music,2017-02-14T06:03:22-08:00,2017-02-14T06:03:22-08:00,172,,248
ZTZkwKzd7l0,Samajh mein aaya kya?,Emiway Bantai,,https://i.ytimg.com/vi/ZTZkwKzd7l0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mru5GzbVbfGHiiG_hC6NpW4grvzQ,4:43,[],157956723,False,,Music,2018-10-12T17:40:41-07:00,2018-10-12T17:40:41-07:00,283,,249
mkj0tK89e9I,Pubg hi khelunga | Pubg Song | EMIWAY MACHAYENGE | boht hard | Firse machayenge | TS Game Rapper,Tanuj Sanjot,,https://i.ytimg.com/vi/mkj0tK89e9I/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k4T1Xfc6H77il-2GD5jp6kEXs6AQ,2:34,[],16010486,False,,Music,2019-02-24T04:16:23-08:00,2019-02-24T04:16:23-08:00,153,,249
OMwffU8s14E,Rap Ka Mausam,RAGA,,https://i.ytimg.com/vi/OMwffU8s14E/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3moHAnUDsfNZFnz5clxoML-PWN_8g,2:32,[],12411061,False,,Music,2019-01-24T21:29:47-08:00,2019-01-24T21:29:47-08:00,151,,248
5Xxvs_itUSk,KARMA - 1 Se 23 | Mic Check - Season 1 | Episode 7 | AK Projekts,Kalamkaar,,https://i.ytimg.com/vi/5Xxvs_itUSk/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lTPLVVDNFl4m5pjtUIEYW1t76hJg,3:08,[],21455924,False,,Music,2019-01-01T05:30:00-08:00,2019-01-01T05:30:00-08:00,188,,249
QzGlJvHqRbw,Shot Deke Gayab,Harrlin,,https://i.ytimg.com/vi/QzGlJvHqRbw/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nQU5yQjmgLZ9OrDG79QpNcHELFGA,3:47,[],15708569,False,,Music,2019-05-11T23:24:54-07:00,2019-05-11T23:24:54-07:00,227,,249
Ap1JfdawpVA,PAPA RAP SONG - SAEMY | TERA ABBU KA LUNGI ME | KELA MILEGA JHAMELA MILEGA,DC Christiano films,,https://i.ytimg.com/vi/Ap1JfdawpVA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n3HzcFkIAsCb_mbK4z5RnRzeZ7vg,3:26,[],110996051,False,,Music,2020-08-11T22:53:31-07:00,2020-08-11T22:53:31-07:00,205,,249
3beb3HXqCms,Nanchaku,MC STAN,,https://i.ytimg.com/vi/3beb3HXqCms/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mnXXiVt7Bflt4oZMqfMhq89E3ffw,3:18,[],36797846,False,,Music,2021-07-22T11:30:12-07:00,2021-07-22T11:30:12-07:00,198,,249
7AOgclMWjG0,Don't Forgive Me (feat. DIVINE),Shah RuLe,,https://i.ytimg.com/vi/7AOgclMWjG0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nMtbVN269PAuRML1qMk1C_YME9qw,3:40,[],1598364,False,,Music,2021-04-29T07:30:01-07:00,2021-04-29T07:30:01-07:00,219,,249
tq0Ml-Z3kP0,Awaam (feat. Mooroo),Faris Shafi,,https://i.ytimg.com/vi/tq0Ml-Z3kP0/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3n_dqjHnePOnh77r2El7FzmAyu6VQ,6:31,[],3467800,False,,Music,2012-08-19T07:40:35-07:00,2012-08-19T07:40:35-07:00,390,,249
r5Ak4KY8-cs,Introduction,Faris Shafi,,https://i.ytimg.com/vi/r5Ak4KY8-cs/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3kKLtbHP9dNOjBEI4kMk4bueEKM-w,2:11,[],37469768,False,,Music,2021-04-03T09:52:56-07:00,2021-04-03T09:52:56-07:00,130,,249
BSJa1UytM8w,Saiyaara Title Song,Faheem Abdullah,,https://i.ytimg.com/vi/BSJa1UytM8w/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lKMJMKEbhsO96rxI_E14odF-IlcQ,4:08,[],560851996,False,,Music,2025-06-02T22:30:10-07:00,2025-06-02T22:30:10-07:00,248,,249
8e1S7Y5KAFM,PERFECT,Guru Randhawa,,https://i.ytimg.com/vi/8e1S7Y5KAFM/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nuNEVl8kT9B7ydlR1KpNhzct2DsQ,2:51,[],51325451,False,,Music,2025-09-17T22:30:10-07:00,2025-09-17T22:30:10-07:00,171,,249
lBvbNxiVmZA,Raanjhan,Parampara Tandon,,https://i.ytimg.com/vi/lBvbNxiVmZA/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k0TUIXVcEeS-bKdFOnEKL_lQqCWg,4:13,[],408530749,False,,Music,2024-11-20T03:12:51-08:00,2024-11-20T03:12:51-08:00,253,,249
sUf2PtEZris,Shaky,Sanju Rathod,,https://i.ytimg.com/vi/sUf2PtEZris/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mxNq-s7Jduxj9dtbPG0CIQsbEFIQ,3:35,[],577236617,False,,Music,2025-04-22T02:21:13-07:00,2025-04-22T02:21:13-07:00,215,,249
cUmUOb7j3dc,Dhun,Arijit Singh,,https://i.ytimg.com/vi/cUmUOb7j3dc/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3nXfUJnyxh2y3d4nSHiW_L2-gmnxQ,3:33,[],151970584,False,,Music,2025-06-30T22:30:05-07:00,2025-06-30T22:30:05-07:00,213,,249
FZLadzn5i6Q,"Uyi Amma (From ""Azaad"")",Amit Trivedi,,https://i.ytimg.com/vi/FZLadzn5i6Q/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3mIYopDMffpqHYI3pIFepgaQxtt1Q,3:15,[],461553949,False,,Music,2025-01-04T06:54:39-08:00,2025-01-04T06:54:39-08:00,194,,249
iUqPfGlg9GQ,Bas Ek Dhadak,Shreya Ghoshal,,https://i.ytimg.com/vi/iUqPfGlg9GQ/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3lS-IQqFDHMqanpT0tjNpZXaPvWTQ,4:02,[],41629488,False,,Music,2025-07-15T00:30:01-07:00,2025-07-15T00:30:01-07:00,241,,249
wLGL61iwo7k,Nachdi,Jaani,,https://i.ytimg.com/vi/wLGL61iwo7k/sddefault.jpg?sqp=-oaymwEWCJADEOEBIAQqCghqEJQEGHgg6AJIWg&rs=AMzJL3k9FJ9ZZCYZO9Vl9FEFw1jEDS8dfg,2:21,[],15733105,False,,Music,2025-07-14T02:30:08-07:00,2025-07-14T02:30:08-07:00,141,,249
